epoch,train_loss,train_acc,val_loss,val_acc
1,0.503224,0.780622,0.567100,0.728972
2,0.438791,0.805221,0.522930,0.766355
3,0.370726,0.829317,0.548638,0.766355
4,0.239018,0.911647,0.516486,0.785047
5,0.221832,0.913655,0.538962,0.794393
6,0.209931,0.907631,0.744393,0.831776
7,0.120172,0.957831,0.601552,0.813084
8,0.087625,0.971888,0.560494,0.785047
9,0.087608,0.967871,0.619928,0.794393
10,0.218807,0.916667,0.895058,0.728972
11,0.031138,0.991968,0.953027,0.738318
12,0.051815,0.984940,0.787138,0.841121
13,0.031741,0.990462,0.992667,0.775701
14,0.013733,0.995984,1.015812,0.794393
15,0.001515,1.000000,1.072141,0.803738
